persona;producto;cantidad;esDevolucion
Eve;Chaqueta;19;Falso
Eve;Zapatos;41;Cierto
Eve;Calcetines;47;Falso
Alice;Bufanda;31;Cierto
Grace;Sombrero;24;Falso
Irene;Camiseta;12;Falso
Diana;Chaqueta;16;Falso
Charlie;Camiseta;20;Falso
Irene;Pantalones;23;Cierto
Charlie;Camiseta;34;Falso
Hector;Sombrero;24;Falso
Alice;Bufanda;10;Falso
Jack;Sombrero;26;Falso
Hector;Zapatos;9;Cierto
Irene;Calcetines;14;Falso
Grace;Sombrero;7;Falso
Alice;Chaqueta;38;Falso
Charlie;Zapatos;46;Falso
Hector;Camiseta;23;Falso
Irene;Gorra;13;Falso
Alice;Gorra;24;Falso
Charlie;Sombrero;45;Falso
Charlie;Sombrero;14;Falso
Hector;Camiseta;35;Falso
Bob;Camiseta;28;Falso
Bob;Calcetines;15;Falso
Bob;Bufanda;5;Falso
Grace;Calcetines;33;Falso
Jack;Calcetines;16;Falso
Alice;Pantalones;16;Cierto
Diana;Sombrero;46;Falso
Frank;Calcetines;6;Falso
Bob;Zapatos;20;Cierto
Frank;Sombrero;36;Falso
Charlie;Gorra;30;Falso
Charlie;Calcetines;44;Cierto
Eve;Chaqueta;27;Cierto
Hector;Zapatos;26;Falso
Eve;Bufanda;32;Cierto
Hector;Calcetines;32;Falso
Jack;Chaqueta;6;Cierto
Irene;Bufanda;45;Falso
Grace;Sombrero;13;Falso
Jack;Bufanda;23;Cierto
Bob;Chaqueta;49;Falso
Jack;Chaqueta;22;Falso
Jack;Camiseta;6;Falso
Diana;Calcetines;42;Falso
Irene;Bufanda;14;Falso
Hector;Zapatos;29;Falso
Bob;Camiseta;23;Falso
Diana;Sombrero;43;Cierto
Irene;Sombrero;37;Falso
Irene;Bufanda;17;Cierto
Charlie;Bufanda;36;Falso
Alice;Gorra;17;Falso
Grace;Calcetines;24;Falso
Bob;Chaqueta;23;Cierto
Jack;Calcetines;15;Falso
Hector;Chaqueta;8;Falso
Alice;Sombrero;31;Falso
Grace;Calcetines;40;Falso
Charlie;Zapatos;18;Falso
Diana;Bufanda;44;Falso
Jack;Zapatos;11;Falso
Bob;Zapatos;48;Falso
Irene;Calcetines;5;Falso
Eve;Gorra;21;Falso
Grace;Camiseta;48;Falso
Jack;Sombrero;20;Cierto
Bob;Pantalones;50;Cierto
Diana;Sombrero;50;Falso
Jack;Gorra;25;Falso
Eve;Bufanda;12;Falso
Frank;Calcetines;44;Falso
Alice;Zapatos;47;Falso
Frank;Calcetines;33;Falso
Bob;Camiseta;41;Falso
Diana;Zapatos;17;Cierto
Bob;Bufanda;30;Falso
Grace;Gorra;10;Falso
Jack;Camiseta;32;Cierto
Bob;Chaqueta;12;Falso
Bob;Camiseta;19;Falso
Charlie;Camiseta;24;Falso
Diana;Gorra;29;Cierto
Frank;Gorra;12;Cierto
Alice;Chaqueta;32;Falso
Jack;Chaqueta;30;Falso
Eve;Bufanda;46;Falso
Diana;Chaqueta;48;Cierto
Bob;Pantalones;10;Falso
Hector;Chaqueta;25;Falso
Jack;Sombrero;23;Cierto
Charlie;Calcetines;14;Falso
Jack;Sombrero;5;Falso
Charlie;Bufanda;45;Falso
Grace;Bufanda;20;Falso
Frank;Sombrero;24;Falso
Bob;Camiseta;27;Falso
Jack;Zapatos;48;Falso
Frank;Calcetines;5;Falso
Hector;Calcetines;37;Falso
Diana;Zapatos;9;Cierto
Charlie;Pantalones;18;Falso
Grace;Calcetines;17;Falso
Hector;Chaqueta;41;Falso
Irene;Sombrero;21;Falso
Diana;Zapatos;30;Falso
Jack;Calcetines;19;Falso
Irene;Camiseta;22;Falso
Diana;Sombrero;37;Cierto
Frank;Bufanda;19;Falso
Hector;Chaqueta;5;Falso
Irene;Pantalones;28;Falso
Frank;Camiseta;33;Cierto
Hector;Bufanda;37;Falso
Bob;Bufanda;33;Falso
Bob;Sombrero;21;Falso
Grace;Camiseta;5;Falso
Diana;Calcetines;23;Falso
Eve;Pantalones;47;Falso
Frank;Calcetines;6;Falso
Irene;Chaqueta;27;Cierto
Diana;Chaqueta;46;Cierto
Eve;Chaqueta;50;Falso
Charlie;Calcetines;35;Falso
Jack;Camiseta;20;Falso
Charlie;Chaqueta;36;Falso
Bob;Camiseta;39;Falso
Charlie;Sombrero;19;Falso
Hector;Chaqueta;31;Falso
Alice;Camiseta;24;Falso
Jack;Chaqueta;22;Falso
Frank;Camiseta;24;Falso
Frank;Pantalones;23;Falso
Charlie;Pantalones;35;Cierto
Grace;Camiseta;37;Cierto
Irene;Chaqueta;50;Cierto
Eve;Bufanda;39;Falso
Grace;Bufanda;23;Falso
Irene;Sombrero;37;Falso
Grace;Zapatos;13;Falso
Eve;Pantalones;21;Falso
Bob;Calcetines;35;Falso
Frank;Zapatos;12;Falso
Charlie;Chaqueta;47;Cierto
Hector;Pantalones;23;Falso
Hector;Camiseta;47;Falso
Alice;Sombrero;19;Falso
Grace;Pantalones;47;Cierto
Diana;Pantalones;27;Falso
Grace;Pantalones;16;Falso
Diana;Camiseta;41;Falso
Diana;Sombrero;5;Falso
Grace;Camiseta;46;Falso
Charlie;Camiseta;16;Falso
Frank;Zapatos;24;Falso
Jack;Calcetines;45;Falso
Bob;Gorra;43;Falso
Hector;Sombrero;22;Falso
Grace;Gorra;25;Falso
Frank;Gorra;28;Falso
Diana;Pantalones;13;Falso
Jack;Camiseta;16;Falso
Diana;Bufanda;46;Falso
Charlie;Bufanda;22;Falso
Bob;Chaqueta;37;Falso
Jack;Chaqueta;37;Cierto
Eve;Calcetines;32;Falso
Charlie;Bufanda;18;Falso
Jack;Camiseta;40;Falso
Grace;Pantalones;8;Falso
Jack;Calcetines;17;Falso
Irene;Pantalones;28;Cierto
Diana;Gorra;30;Falso
Irene;Pantalones;31;Falso
Alice;Bufanda;7;Falso
Irene;Camiseta;41;Falso
Irene;Bufanda;50;Falso
Jack;Pantalones;10;Falso
Eve;Bufanda;15;Falso
Grace;Gorra;30;Falso
Bob;Gorra;32;Falso
Eve;Zapatos;44;Falso
Eve;Camiseta;27;Falso
Diana;Chaqueta;32;Falso
Irene;Sombrero;24;Falso
Frank;Pantalones;39;Falso
Irene;Sombrero;15;Falso
Hector;Zapatos;9;Falso
Irene;Camiseta;31;Falso
Bob;Zapatos;17;Falso
Irene;Gorra;23;Cierto
Irene;Calcetines;27;Falso
Grace;Gorra;46;Falso
Jack;Camiseta;36;Falso
Alice;Gorra;14;Falso
Irene;Calcetines;17;Falso
Frank;Gorra;50;Falso
Eve;Bufanda;36;Cierto
Irene;Gorra;43;Cierto
Bob;Sombrero;11;Falso
Alice;Gorra;17;Falso
Irene;Zapatos;6;Falso
Diana;Chaqueta;10;Falso
Diana;Pantalones;6;Falso
Alice;Camiseta;31;Falso
Hector;Chaqueta;34;Falso
Irene;Sombrero;44;Falso
Charlie;Pantalones;48;Falso
Bob;Gorra;27;Falso
Bob;Pantalones;23;Falso
Diana;Bufanda;50;Falso
Charlie;Zapatos;49;Falso
Alice;Chaqueta;10;Falso
Charlie;Chaqueta;12;Falso
Bob;Calcetines;9;Falso
Grace;Chaqueta;37;Cierto
Charlie;Chaqueta;12;Falso
Charlie;Camiseta;38;Cierto
Alice;Camiseta;21;Cierto
Hector;Sombrero;26;Cierto
Diana;Calcetines;31;Cierto
Jack;Gorra;23;Falso
Grace;Calcetines;49;Falso
Charlie;Camiseta;48;Falso
Hector;Bufanda;10;Falso
Diana;Camiseta;25;Falso
Bob;Bufanda;8;Cierto
Alice;Camiseta;6;Falso
Eve;Sombrero;11;Cierto
Alice;Calcetines;49;Falso
Hector;Bufanda;16;Falso
Irene;Chaqueta;49;Falso
Jack;Calcetines;9;Falso
Hector;Pantalones;28;Cierto
Eve;Pantalones;30;Falso
Bob;Zapatos;37;Falso
Irene;Camiseta;7;Falso
Charlie;Chaqueta;23;Falso
Jack;Bufanda;47;Falso
Alice;Calcetines;6;Falso
Eve;Sombrero;33;Falso
Diana;Zapatos;24;Falso
Alice;Pantalones;18;Falso
Alice;Camiseta;31;Falso
Eve;Bufanda;11;Falso
Diana;Pantalones;18;Falso
Bob;Camiseta;10;Falso
Diana;Zapatos;34;Falso
Charlie;Sombrero;24;Falso
Diana;Bufanda;26;Falso
Charlie;Sombrero;14;Falso
Hector;Bufanda;40;Falso
Charlie;Gorra;8;Cierto
Frank;Chaqueta;43;Falso
Jack;Zapatos;23;Falso
Hector;Gorra;30;Cierto
Jack;Chaqueta;12;Falso
Frank;Sombrero;39;Falso
Diana;Zapatos;47;Falso
Alice;Pantalones;40;Falso
Jack;Gorra;32;Falso
Alice;Gorra;16;Falso
Eve;Chaqueta;44;Falso
Frank;Calcetines;32;Falso
Charlie;Calcetines;33;Falso
Hector;Calcetines;15;Falso
Frank;Pantalones;48;Falso
Bob;Bufanda;24;Falso
Hector;Sombrero;40;Falso
Diana;Sombrero;44;Cierto
Jack;Bufanda;48;Falso
Hector;Gorra;37;Falso
Jack;Sombrero;20;Falso
Hector;Zapatos;7;Falso
Frank;Bufanda;43;Falso
Alice;Calcetines;41;Falso
Charlie;Sombrero;31;Falso
Jack;Gorra;39;Falso
Bob;Chaqueta;42;Falso
Irene;Bufanda;33;Falso
Eve;Chaqueta;10;Falso
Grace;Calcetines;28;Falso
Frank;Bufanda;39;Falso
Diana;Calcetines;33;Falso
Eve;Sombrero;33;Falso
Alice;Sombrero;36;Falso
Bob;Pantalones;32;Cierto
Hector;Zapatos;39;Falso
Bob;Gorra;7;Falso
Jack;Zapatos;14;Falso
Alice;Chaqueta;27;Falso
Bob;Gorra;6;Falso
Grace;Calcetines;34;Falso
Charlie;Chaqueta;11;Falso
Alice;Pantalones;36;Falso
Charlie;Sombrero;33;Falso
Diana;Bufanda;34;Falso
Irene;Bufanda;10;Falso
Bob;Sombrero;44;Cierto
Alice;Gorra;40;Falso
Grace;Pantalones;31;Falso
Eve;Pantalones;11;Falso
Hector;Bufanda;33;Falso
Grace;Zapatos;12;Falso
Alice;Zapatos;18;Falso
Bob;Sombrero;12;Falso
Jack;Bufanda;9;Falso
Charlie;Chaqueta;17;Falso
Diana;Pantalones;24;Falso
Bob;Bufanda;23;Falso
Irene;Chaqueta;34;Falso
Charlie;Pantalones;41;Cierto
Bob;Pantalones;14;Falso
Bob;Chaqueta;36;Falso
Charlie;Chaqueta;50;Falso
Bob;Zapatos;37;Falso
Frank;Chaqueta;50;Falso
Hector;Zapatos;5;Falso
Grace;Camiseta;41;Cierto
Alice;Camiseta;20;Falso
Charlie;Chaqueta;36;Falso
Diana;Gorra;39;Falso
Jack;Sombrero;18;Cierto
Eve;Bufanda;40;Falso
Jack;Calcetines;12;Falso
Jack;Bufanda;9;Falso
Frank;Gorra;44;Falso
Bob;Pantalones;39;Falso
Eve;Camiseta;48;Falso
Hector;Zapatos;9;Falso
Alice;Gorra;8;Falso
Irene;Sombrero;49;Falso
Bob;Pantalones;7;Falso
Bob;Zapatos;29;Falso
Irene;Zapatos;45;Falso
Diana;Zapatos;31;Falso
Frank;Zapatos;41;Falso
Charlie;Chaqueta;25;Falso
Alice;Gorra;39;Falso
Frank;Gorra;6;Cierto
Diana;Zapatos;31;Falso
Eve;Sombrero;43;Cierto
Jack;Pantalones;11;Falso
Bob;Calcetines;27;Cierto
Jack;Zapatos;10;Cierto
Jack;Sombrero;30;Cierto
Frank;Gorra;39;Falso
Diana;Pantalones;49;Falso
Grace;Camiseta;50;Cierto
Frank;Sombrero;33;Falso
Jack;Gorra;46;Cierto
Frank;Chaqueta;40;Falso
Grace;Chaqueta;43;Falso
Bob;Chaqueta;35;Falso
Diana;Gorra;46;Falso
Alice;Chaqueta;24;Cierto
Diana;Zapatos;20;Falso
Frank;Chaqueta;38;Falso
Hector;Chaqueta;20;Falso
Bob;Gorra;11;Cierto
Bob;Camiseta;35;Falso
Jack;Pantalones;48;Falso
Diana;Chaqueta;10;Falso
Eve;Camiseta;18;Falso
Eve;Chaqueta;6;Falso
Bob;Bufanda;41;Falso
Hector;Calcetines;45;Falso
Diana;Chaqueta;22;Falso
Bob;Bufanda;15;Falso
Alice;Bufanda;20;Falso
Eve;Zapatos;7;Falso
Alice;Bufanda;34;Falso
Grace;Zapatos;50;Falso
Grace;Chaqueta;25;Falso
Hector;Chaqueta;22;Falso
Diana;Pantalones;6;Falso
Bob;Bufanda;42;Falso
Charlie;Chaqueta;7;Falso
Grace;Chaqueta;39;Falso
Hector;Bufanda;14;Falso
Eve;Zapatos;20;Cierto
Eve;Gorra;18;Cierto
Charlie;Sombrero;45;Falso
Irene;Pantalones;44;Falso
Hector;Calcetines;18;Falso
Bob;Gorra;12;Falso
Diana;Camiseta;11;Cierto
Diana;Gorra;12;Falso
Irene;Bufanda;21;Falso
Alice;Zapatos;7;Falso
Grace;Zapatos;13;Falso
Hector;Calcetines;13;Falso
Grace;Camiseta;43;Falso
Diana;Calcetines;12;Cierto
Eve;Chaqueta;38;Falso
Jack;Calcetines;48;Falso
Irene;Gorra;16;Falso
Irene;Calcetines;13;Cierto
Alice;Chaqueta;30;Falso
Bob;Camiseta;47;Falso
Eve;Sombrero;28;Falso
Bob;Pantalones;27;Falso
Eve;Sombrero;5;Falso
Alice;Chaqueta;43;Falso
Bob;Zapatos;49;Falso
Alice;Zapatos;29;Falso
Eve;Sombrero;21;Falso
Jack;Sombrero;39;Falso
Charlie;Pantalones;47;Falso
Diana;Camiseta;25;Falso
Bob;Gorra;37;Falso
Grace;Gorra;28;Falso
Frank;Bufanda;18;Cierto
Eve;Camiseta;10;Falso
Charlie;Chaqueta;15;Falso
Hector;Calcetines;48;Falso
Bob;Chaqueta;27;Falso
Irene;Bufanda;25;Falso
Charlie;Bufanda;6;Falso
Diana;Calcetines;24;Falso
Frank;Chaqueta;34;Falso
Eve;Chaqueta;24;Falso
Charlie;Calcetines;16;Cierto
Diana;Calcetines;23;Falso
Jack;Zapatos;15;Falso
Irene;Gorra;50;Falso
Irene;Camiseta;39;Cierto
Alice;Bufanda;40;Cierto
Alice;Calcetines;5;Falso
Diana;Bufanda;32;Falso
Hector;Gorra;8;Falso
Jack;Calcetines;28;Falso
Jack;Bufanda;7;Falso
Jack;Calcetines;42;Falso
Jack;Sombrero;28;Cierto
Jack;Gorra;29;Falso
Alice;Pantalones;34;Falso
Grace;Gorra;5;Cierto
Grace;Pantalones;22;Cierto
Charlie;Bufanda;40;Falso
Grace;Pantalones;21;Falso
Alice;Calcetines;39;Falso
Charlie;Calcetines;41;Falso
Grace;Camiseta;5;Falso
Irene;Chaqueta;30;Falso
Eve;Chaqueta;41;Falso
Jack;Calcetines;34;Falso
Frank;Sombrero;47;Falso
Jack;Camiseta;15;Falso
Frank;Zapatos;7;Falso
Eve;Chaqueta;9;Falso
Alice;Pantalones;24;Falso
Bob;Gorra;24;Falso
Frank;Pantalones;7;Falso
Alice;Bufanda;43;Falso
Hector;Pantalones;26;Falso
Bob;Calcetines;41;Falso
Frank;Pantalones;38;Falso
Irene;Zapatos;30;Falso
Diana;Calcetines;10;Falso
Diana;Pantalones;28;Falso
Alice;Zapatos;5;Falso
Alice;Sombrero;42;Falso
Charlie;Camiseta;39;Falso
Eve;Bufanda;46;Falso
Charlie;Calcetines;46;Falso
Irene;Bufanda;47;Falso
Grace;Bufanda;43;Falso
Eve;Bufanda;39;Falso
Diana;Calcetines;27;Falso
Eve;Sombrero;8;Falso
Alice;Pantalones;37;Falso
Bob;Bufanda;48;Falso
Jack;Chaqueta;40;Falso
Frank;Camiseta;14;Falso
Frank;Calcetines;22;Falso
Hector;Camiseta;7;Falso
Eve;Camiseta;23;Cierto
Grace;Bufanda;30;Falso
Hector;Zapatos;42;Falso
Jack;Pantalones;38;Falso
Irene;Gorra;33;Falso
Eve;Calcetines;32;Falso
Grace;Zapatos;33;Falso
Bob;Gorra;5;Falso
Frank;Bufanda;19;Falso
Frank;Sombrero;11;Falso
Frank;Gorra;48;Falso
Irene;Calcetines;26;Falso
Hector;Gorra;11;Falso
Irene;Bufanda;50;Falso
Frank;Gorra;39;Falso
Charlie;Sombrero;43;Cierto
Grace;Gorra;34;Falso
Eve;Gorra;27;Cierto
Diana;Pantalones;22;Falso
Frank;Chaqueta;49;Falso
Alice;Camiseta;14;Cierto
Frank;Gorra;42;Falso
Bob;Bufanda;6;Falso
Eve;Camiseta;20;Cierto
Alice;Pantalones;21;Falso
Charlie;Bufanda;8;Falso
Eve;Zapatos;37;Falso
Jack;Bufanda;46;Falso
Hector;Pantalones;20;Falso
Alice;Chaqueta;38;Falso
Bob;Zapatos;20;Falso
Alice;Camiseta;41;Falso
Irene;Gorra;24;Falso
Grace;Pantalones;10;Falso
Frank;Bufanda;47;Cierto
Frank;Pantalones;36;Falso
Irene;Camiseta;37;Falso
Grace;Zapatos;28;Cierto
Eve;Calcetines;39;Falso
Alice;Chaqueta;47;Falso
Jack;Camiseta;38;Falso
Frank;Calcetines;11;Falso
Hector;Sombrero;34;Falso
Diana;Sombrero;50;Falso
Diana;Calcetines;13;Falso
Bob;Bufanda;30;Cierto
Frank;Bufanda;8;Falso
Grace;Bufanda;29;Falso
Diana;Gorra;33;Falso
Bob;Calcetines;19;Falso
Diana;Calcetines;32;Falso
Jack;Pantalones;16;Falso
Grace;Camiseta;40;Falso
Irene;Sombrero;6;Falso
Frank;Zapatos;26;Falso
Diana;Sombrero;28;Falso
Diana;Chaqueta;34;Falso
Hector;Chaqueta;14;Falso
Hector;Chaqueta;19;Falso
Diana;Gorra;24;Falso
Frank;Chaqueta;24;Falso
Diana;Zapatos;19;Falso
Frank;Calcetines;15;Falso
Charlie;Pantalones;22;Falso
Hector;Chaqueta;7;Falso
Bob;Gorra;25;Falso
Eve;Zapatos;20;Falso
Grace;Pantalones;33;Falso
Charlie;Bufanda;5;Falso
Jack;Camiseta;40;Falso
Irene;Zapatos;20;Falso
Irene;Pantalones;43;Falso
Frank;Pantalones;27;Cierto
Irene;Camiseta;32;Cierto
Bob;Sombrero;39;Falso
Diana;Sombrero;21;Falso
Frank;Sombrero;36;Falso
Diana;Chaqueta;27;Falso
Eve;Sombrero;6;Falso
Diana;Chaqueta;10;Falso
Charlie;Zapatos;22;Falso
Charlie;Camiseta;8;Cierto
Bob;Bufanda;26;Falso
Bob;Gorra;12;Falso
Hector;Bufanda;46;Falso
Alice;Gorra;46;Falso
Eve;Pantalones;17;Cierto
Hector;Chaqueta;29;Falso
Charlie;Camiseta;32;Cierto
Bob;Zapatos;16;Falso
Hector;Gorra;45;Falso
Alice;Sombrero;26;Cierto
Charlie;Zapatos;32;Falso
Irene;Bufanda;12;Falso
Eve;Calcetines;20;Falso
Diana;Zapatos;41;Falso
Irene;Zapatos;5;Falso
Charlie;Camiseta;37;Falso
Grace;Bufanda;11;Falso
Eve;Zapatos;35;Falso
Eve;Chaqueta;18;Falso
Jack;Gorra;7;Falso
Eve;Gorra;29;Falso
Alice;Camiseta;35;Falso
Grace;Calcetines;39;Falso
Grace;Calcetines;36;Falso
Irene;Bufanda;49;Cierto
Irene;Camiseta;34;Falso
Charlie;Calcetines;37;Falso
Eve;Gorra;21;Falso
Eve;Pantalones;5;Falso
Grace;Camiseta;33;Falso
Jack;Bufanda;40;Falso
Bob;Calcetines;9;Falso
Irene;Bufanda;7;Falso
Grace;Calcetines;46;Falso
Eve;Chaqueta;9;Falso
Bob;Pantalones;32;Falso
Frank;Calcetines;38;Falso
Diana;Calcetines;19;Falso
Irene;Sombrero;17;Falso
Diana;Bufanda;28;Falso
Hector;Bufanda;28;Falso
Eve;Bufanda;22;Falso
Frank;Bufanda;40;Cierto
Charlie;Calcetines;17;Falso
Frank;Camiseta;50;Falso
Jack;Gorra;17;Falso
Frank;Pantalones;37;Falso
Irene;Sombrero;40;Falso
Alice;Chaqueta;9;Falso
Hector;Chaqueta;8;Falso
Grace;Gorra;34;Falso
Hector;Bufanda;49;Falso
Irene;Bufanda;10;Falso
Jack;Camiseta;48;Falso
Hector;Bufanda;32;Falso
Jack;Calcetines;15;Cierto
Frank;Chaqueta;28;Falso
Eve;Sombrero;49;Falso
Frank;Chaqueta;41;Falso
Jack;Chaqueta;18;Falso
Hector;Bufanda;37;Cierto
Eve;Pantalones;14;Falso
Alice;Camiseta;16;Falso
Charlie;Calcetines;48;Falso
Bob;Gorra;47;Falso
Grace;Sombrero;45;Falso
Irene;Camiseta;37;Falso
Diana;Sombrero;36;Falso
Alice;Calcetines;28;Falso
Alice;Sombrero;45;Falso
Irene;Calcetines;42;Falso
Frank;Chaqueta;5;Cierto
Charlie;Chaqueta;5;Falso
Jack;Camiseta;10;Cierto
Eve;Gorra;48;Falso
Frank;Calcetines;16;Falso
Bob;Sombrero;30;Falso
Jack;Chaqueta;17;Falso
Alice;Sombrero;9;Cierto
Bob;Sombrero;19;Falso
Irene;Zapatos;32;Cierto
Charlie;Pantalones;31;Falso
Bob;Sombrero;35;Falso
Frank;Chaqueta;16;Falso
Frank;Sombrero;32;Falso
Eve;Camiseta;14;Falso
Frank;Zapatos;19;Falso
Jack;Calcetines;33;Falso
Frank;Zapatos;7;Falso
Diana;Zapatos;24;Cierto
Frank;Zapatos;25;Falso
Irene;Camiseta;39;Falso
Diana;Sombrero;10;Cierto
Irene;Camiseta;22;Falso
Charlie;Camiseta;8;Falso
Irene;Calcetines;13;Falso
Irene;Calcetines;47;Cierto
Irene;Calcetines;33;Falso
Eve;Calcetines;25;Falso
Jack;Pantalones;24;Falso
Bob;Sombrero;33;Falso
Eve;Pantalones;34;Falso
Grace;Calcetines;40;Falso
Diana;Bufanda;50;Falso
Charlie;Gorra;43;Falso
Grace;Zapatos;22;Falso
Diana;Gorra;13;Falso
Diana;Chaqueta;22;Falso
Eve;Calcetines;33;Cierto
Eve;Camiseta;44;Falso
Jack;Camiseta;30;Falso
Jack;Zapatos;40;Cierto
Diana;Gorra;15;Falso
Irene;Zapatos;40;Cierto
Diana;Camiseta;47;Cierto
Irene;Pantalones;39;Falso
Bob;Camiseta;50;Falso
Jack;Bufanda;42;Falso
Diana;Sombrero;8;Falso
Frank;Sombrero;26;Cierto
Eve;Pantalones;17;Falso
Diana;Chaqueta;38;Falso
Charlie;Camiseta;50;Falso
Grace;Chaqueta;9;Falso
Irene;Chaqueta;10;Falso
Jack;Gorra;30;Falso
Grace;Calcetines;25;Falso
Hector;Calcetines;31;Falso
Hector;Camiseta;39;Falso
Charlie;Calcetines;23;Falso
Hector;Calcetines;41;Falso
Diana;Zapatos;47;Falso
Frank;Sombrero;29;Falso
Eve;Chaqueta;10;Falso
Frank;Pantalones;23;Cierto
Diana;Gorra;32;Cierto
Diana;Calcetines;19;Falso
Charlie;Pantalones;32;Falso
Bob;Calcetines;41;Falso
Frank;Camiseta;21;Falso
Grace;Gorra;15;Cierto
Frank;Calcetines;41;Falso
Frank;Sombrero;40;Falso
Bob;Gorra;29;Falso
Charlie;Pantalones;46;Falso
Alice;Sombrero;35;Cierto
Hector;Chaqueta;24;Falso
Alice;Sombrero;22;Falso
Grace;Bufanda;44;Falso
Grace;Sombrero;42;Falso
Grace;Sombrero;46;Falso
Jack;Gorra;23;Falso
Irene;Sombrero;13;Falso
Frank;Camiseta;21;Falso
Irene;Chaqueta;46;Falso
Frank;Bufanda;15;Falso
Diana;Zapatos;23;Cierto
Hector;Zapatos;13;Falso
Grace;Camiseta;38;Falso
Hector;Zapatos;25;Falso
Eve;Sombrero;14;Falso
Frank;Bufanda;42;Falso
Grace;Pantalones;10;Falso
Irene;Zapatos;42;Falso
Alice;Gorra;48;Cierto
Grace;Zapatos;8;Falso
Charlie;Zapatos;34;Cierto
Frank;Chaqueta;6;Falso
Grace;Zapatos;25;Cierto
Irene;Zapatos;35;Cierto
